store_id,product_id,stock_on_hand,reorder_point
1,1,137,34
1,2,269,37
1,3,56,20
1,4,92,21
1,6,271,39
1,7,228,31
1,8,138,26
1,9,128,16
1,10,258,32
1,12,125,29
1,13,221,36
1,14,201,31
1,15,110,22
1,16,71,27
1,19,7,17
1,20,130,28
1,21,43,36
1,22,259,36
1,24,150,16
1,25,80,23
1,26,134,26
1,29,125,16
1,31,182,20
1,32,195,17
1,33,257,35
1,34,258,39
1,35,135,17
1,36,300,16
1,37,153,24
1,38,43,33
1,41,199,39
1,42,253,19
1,43,74,16
1,44,262,35
1,45,258,19
1,47,291,40
1,48,299,40
1,50,117,17
1,51,68,35
1,52,53,27
1,53,285,16
1,54,272,36
1,55,135,15
1,56,35,38
1,59,269,17
1,60,242,23
1,61,135,22
1,62,105,22
1,63,235,30
1,64,39,30
1,66,23,34
1,67,101,17
1,68,169,23
1,69,155,34
1,70,6,30
1,71,137,36
1,72,111,36
1,73,264,24
1,74,238,39
1,75,281,21
1,76,43,30
1,77,234,17
1,78,230,23
1,79,107,17
1,80,72,38
1,81,184,19
1,82,260,23
1,84,118,30
1,86,12,20
1,87,251,36
1,88,154,38
1,89,176,27
1,90,169,15
1,91,173,27
1,92,100,37
1,93,148,23
1,94,201,27
1,96,184,28
1,97,24,23
1,98,146,35
1,100,136,28
1,101,97,39
1,102,219,15
1,103,204,32
1,104,41,16
1,106,70,35
1,108,281,19
1,109,212,25
1,110,130,38
1,111,133,27
1,112,154,30
1,113,201,18
1,114,82,17
1,115,254,32
1,116,170,39
1,117,71,32
1,118,46,20
1,119,46,25
1,120,132,40
1,121,10,38
1,123,268,21
1,124,173,39
1,125,142,33
1,127,257,31
1,128,110,17
1,129,127,27
1,130,228,28
1,132,11,19
1,133,242,33
1,134,37,27
1,137,239,29
1,138,55,22
1,139,267,36
1,140,234,17
1,141,20,15
1,142,119,33
1,144,155,19
1,145,270,35
1,146,57,18
1,147,268,33
1,148,133,22
1,149,0,15
1,150,235,23
1,152,124,30
1,153,280,22
1,154,210,37
1,155,28,15
1,156,215,17
1,157,217,26
1,158,17,37
1,159,215,26
1,160,101,15
1,161,258,17
1,162,102,24
1,163,99,22
1,164,135,39
1,166,253,34
1,167,114,30
1,168,28,34
1,169,201,16
1,170,72,28
2,1,30,20
2,2,160,38
2,3,40,20
2,4,94,35
2,6,16,24
2,7,193,26
2,9,55,15
2,10,41,26
2,11,63,32
2,13,182,39
2,14,221,17
2,15,242,21
2,16,228,21
2,17,242,15
2,18,126,40
2,19,207,16
2,20,237,17
2,21,31,23
2,22,32,34
2,23,139,25
2,25,134,38
2,26,162,23
2,27,33,15
2,28,54,30
2,29,238,39
2,30,128,28
2,31,67,30
2,32,155,37
2,33,120,25
2,35,40,31
2,36,81,22
2,37,17,30
2,38,166,20
2,42,43,21
2,43,255,37
2,45,68,28
2,46,120,38
2,47,62,39
2,48,150,23
2,49,190,23
2,50,101,29
2,51,125,22
2,52,296,21
2,53,202,23
2,55,118,35
2,56,237,16
2,57,243,22
2,58,191,16
2,60,25,21
2,61,298,21
2,63,91,29
2,64,3,18
2,65,179,21
2,66,174,19
2,67,130,16
2,68,104,15
2,69,209,36
2,70,159,17
2,71,253,32
2,72,208,18
2,73,281,19
2,74,46,35
2,75,138,28
2,77,213,16
2,78,290,26
2,79,9,39
2,81,100,27
2,82,104,15
2,83,80,28
2,84,46,27
2,85,186,29
2,86,66,15
2,87,72,35
2,88,203,17
2,89,189,38
2,90,74,26
2,91,266,20
2,93,251,39
2,94,101,24
2,95,22,30
2,96,198,17
2,98,82,35
2,99,113,34
2,100,100,30
2,101,111,16
2,102,265,20
2,103,63,19
2,104,98,16
2,106,19,36
2,107,60,27
2,108,281,35
2,109,215,24
2,110,217,27
2,111,228,31
2,112,11,15
2,113,250,29
2,114,234,20
2,115,204,18
2,116,183,28
2,117,226,31
2,118,20,16
2,119,42,38
2,120,261,17
2,121,258,27
2,122,69,15
2,125,56,21
2,126,251,24
2,129,113,17
2,130,129,20
2,131,140,29
2,132,257,30
2,133,134,34
2,134,163,26
2,135,93,27
2,136,142,36
2,137,192,20
2,138,135,18
2,139,24,35
2,142,266,33
2,143,53,23
2,145,201,38
2,146,135,27
2,148,184,25
2,149,226,22
2,150,24,24
2,151,129,24
2,152,299,36
2,154,17,22
2,155,221,28
2,156,24,19
2,157,23,15
2,158,290,26
2,159,267,26
2,160,211,33
2,161,68,21
2,162,243,20
2,163,124,37
2,164,49,17
2,165,138,27
2,166,5,16
2,167,287,26
2,168,296,29
2,169,265,38
2,170,84,15
3,1,272,15
3,2,121,20
3,3,53,15
3,4,100,19
3,5,265,34
3,6,212,34
3,7,158,17
3,8,24,38
3,9,275,15
3,10,223,38
3,12,231,20
3,13,53,23
3,14,19,18
3,15,134,37
3,16,283,36
3,17,267,23
3,18,111,17
3,20,133,22
3,21,103,20
